MemberId,Name,Signature,StartLine,EndLine,CallerIds,CallerSignatures,CallerCount
Method|CreateHostKeyVerifierWithStorage()|L97,CreateHostKeyVerifierWithStorage,CreateHostKeyVerifierWithStorage(),97,108,"Method|SyncToServerMenuItem_OnClick(object,RoutedEventArgs)|L7948;Method|TestServerConnectionAsync(ServerTarget,string?,Func<string, HostKeyVerificationResult, Task<bool>>)|L8007","SyncToServerMenuItem_OnClick(object,RoutedEventArgs);TestServerConnectionAsync(ServerTarget,string?,Func<string, HostKeyVerificationResult, Task<bool>>)",2
"Method|ReportStatus(string,bool)|L502",ReportStatus,"ReportStatus(string,bool)",502,505,"Method|ApplyExclusivePresetAsync(ModPreset)|L13110;Method|ChangeBackupLocationMenuItem_OnClick(object?,RoutedEventArgs)|L8414;Method|CreateModUpdateProgressReporter(string,IProgress<ModUpdateProgress>?)|L8827;Method|DeleteAllCloudModlistsAndAuthorizationAsync(FirebaseModlistStore,bool)|L11751;Method|DeleteCloudModlistAsync(FirebaseModlistStore,CloudModlistManagementEntry)|L11719;Method|DeleteCloudModlistMenuItem_OnClick(object,RoutedEventArgs)|L10812;Method|DeleteDataFolderBackupsMenuItem_OnClick(object?,RoutedEventArgs)|L8458;Method|DeleteLocalModlistsButton_OnClick(object,RoutedEventArgs)|L10499;Method|DeleteMultipleModsAsync(IReadOnlyList<ModListItemViewModel>)|L5222;Method|DeleteSingleModAsync(ModListItemViewModel)|L5181;Method|EditConfigButton_OnClick(object,RoutedEventArgs)|L5057;Method|FixModButton_OnClick(object,RoutedEventArgs)|L5335;Method|ImportPresetConfigsAsync(ModPreset)|L12618;Method|InstallModButton_OnClick(object,RoutedEventArgs)|L5455;Method|InstallModFromBrowserAsync(DownloadableMod)|L2736;Method|InstallOrUpdateDependencyAsync(ModDependencyInfo,ModListItemViewModel?)|L5559;Method|LoadModlistFromCloudMenuItem_OnClick(object,RoutedEventArgs)|L10740;Method|LoadModlistFromFileAsync(string)|L11017;Method|LoadPresetFromFileAsync(string)|L10964;Method|MigrateLegacyRebuiltModlistsIfNeeded()|L623;Method|ModifyLocalModlistButton_OnClick(object,RoutedEventArgs)|L10567;Method|RenameCloudModlistAsync(FirebaseModlistStore,CloudModlistManagementEntry,string)|L11648;Method|ReportStatus(string,bool)|L502;Method|RestoreDataBackupAsync(DataFolderBackupSummary)|L8653;Method|SaveModlistToCloudAsync()|L10085;Method|SavePresetMenuItem_OnClick(object,RoutedEventArgs)|L9417;Method|SelectedModCopyForServerButton_OnClick(object,RoutedEventArgs)|L5030;Method|TrySaveModlist(Func<string?>?,out string?)|L9442","ApplyExclusivePresetAsync(ModPreset);ChangeBackupLocationMenuItem_OnClick(object?,RoutedEventArgs);CreateModUpdateProgressReporter(string,IProgress<ModUpdateProgress>?);DeleteAllCloudModlistsAndAuthorizationAsync(FirebaseModlistStore,bool);DeleteCloudModlistAsync(FirebaseModlistStore,CloudModlistManagementEntry);DeleteCloudModlistMenuItem_OnClick(object,RoutedEventArgs);DeleteDataFolderBackupsMenuItem_OnClick(object?,RoutedEventArgs);DeleteLocalModlistsButton_OnClick(object,RoutedEventArgs);DeleteMultipleModsAsync(IReadOnlyList<ModListItemViewModel>);DeleteSingleModAsync(ModListItemViewModel);EditConfigButton_OnClick(object,RoutedEventArgs);FixModButton_OnClick(object,RoutedEventArgs);ImportPresetConfigsAsync(ModPreset);InstallModButton_OnClick(object,RoutedEventArgs);InstallModFromBrowserAsync(DownloadableMod);InstallOrUpdateDependencyAsync(ModDependencyInfo,ModListItemViewModel?);LoadModlistFromCloudMenuItem_OnClick(object,RoutedEventArgs);LoadModlistFromFileAsync(string);LoadPresetFromFileAsync(string);MigrateLegacyRebuiltModlistsIfNeeded();ModifyLocalModlistButton_OnClick(object,RoutedEventArgs);RenameCloudModlistAsync(FirebaseModlistStore,CloudModlistManagementEntry,string);ReportStatus(string,bool);RestoreDataBackupAsync(DataFolderBackupSummary);SaveModlistToCloudAsync();SavePresetMenuItem_OnClick(object,RoutedEventArgs);SelectedModCopyForServerButton_OnClick(object,RoutedEventArgs);TrySaveModlist(Func<string?>?,out string?)",28
Method|InitializeColumnVisibilityMenu()|L511,InitializeColumnVisibilityMenu,InitializeColumnVisibilityMenu(),511,523,,,0
"Method|RegisterColumnMenuItem(MenuItem?,InstalledModsColumn)|L525",RegisterColumnMenuItem,"RegisterColumnMenuItem(MenuItem?,InstalledModsColumn)",525,537,Method|InitializeColumnVisibilityMenu()|L511,InitializeColumnVisibilityMenu(),1
"Method|InstalledModsColumnMenuItem_OnChecked(object,RoutedEventArgs)|L539",InstalledModsColumnMenuItem_OnChecked,"InstalledModsColumnMenuItem_OnChecked(object,RoutedEventArgs)",539,547,,,0
"Method|ApplyInstalledColumnVisibility(InstalledModsColumn,bool)|L549",ApplyInstalledColumnVisibility,"ApplyInstalledColumnVisibility(InstalledModsColumn,bool)",549,569,"Method|InstalledModsColumnMenuItem_OnChecked(object,RoutedEventArgs)|L539;Method|RegisterColumnMenuItem(MenuItem?,InstalledModsColumn)|L525","InstalledModsColumnMenuItem_OnChecked(object,RoutedEventArgs);RegisterColumnMenuItem(MenuItem?,InstalledModsColumn)",2
"Method|NotifyViewModelOfInstalledColumnVisibility(InstalledModsColumn,bool)|L571",NotifyViewModelOfInstalledColumnVisibility,"NotifyViewModelOfInstalledColumnVisibility(InstalledModsColumn,bool)",571,574,"Method|ApplyColumnVisibilityPreferencesToViewModel()|L576;Method|InstalledModsColumnMenuItem_OnChecked(object,RoutedEventArgs)|L539;Method|RegisterColumnMenuItem(MenuItem?,InstalledModsColumn)|L525","ApplyColumnVisibilityPreferencesToViewModel();InstalledModsColumnMenuItem_OnChecked(object,RoutedEventArgs);RegisterColumnMenuItem(MenuItem?,InstalledModsColumn)",3
Method|ApplyColumnVisibilityPreferencesToViewModel()|L576,ApplyColumnVisibilityPreferencesToViewModel,ApplyColumnVisibilityPreferencesToViewModel(),576,582,Method|InitializeViewModel()|L2568;Method|ReloadViewModelAsync()|L4358,InitializeViewModel();ReloadViewModelAsync(),2
"Method|MainWindow_Loaded(object,RoutedEventArgs)|L590",MainWindow_Loaded,"MainWindow_Loaded(object,RoutedEventArgs)",590,621,,,0
Method|MigrateLegacyRebuiltModlistsIfNeeded()|L623,MigrateLegacyRebuiltModlistsIfNeeded,MigrateLegacyRebuiltModlistsIfNeeded(),623,669,"Method|MainWindow_Loaded(object,RoutedEventArgs)|L590","MainWindow_Loaded(object,RoutedEventArgs)",1
Method|PromptCacheRefreshIfNeededAsync()|L671,PromptCacheRefreshIfNeededAsync,PromptCacheRefreshIfNeededAsync(),671,691,"Method|MainWindow_Loaded(object,RoutedEventArgs)|L590","MainWindow_Loaded(object,RoutedEventArgs)",1
Method|ClearManagerCachesForVersionUpdateAsync()|L693,ClearManagerCachesForVersionUpdateAsync,ClearManagerCachesForVersionUpdateAsync(),693,717,Method|PromptCacheRefreshIfNeededAsync()|L671,PromptCacheRefreshIfNeededAsync(),1
Method|CheckAndPromptMigrationAsync()|L719,CheckAndPromptMigrationAsync,CheckAndPromptMigrationAsync(),719,751,"Method|MainWindow_Loaded(object,RoutedEventArgs)|L590","MainWindow_Loaded(object,RoutedEventArgs)",1
