MemberId,Name,Signature,StartLine,EndLine,LineCount,CalledMethodNames,ResolvedTargetIds,AmbiguousMethodNames,UnresolvedMethodNames,CallCount,ResolvedCount,AmbiguousCount,UnresolvedCount
Method|CreateHostKeyVerifierWithStorage()|L97,CreateHostKeyVerifierWithStorage,CreateHostKeyVerifierWithStorage(),97,108,12,,,,,0,0,0,0
"Method|ReportStatus(string,bool)|L502",ReportStatus,"ReportStatus(string,bool)",502,505,4,ReportStatus,"Method|ReportStatus(string,bool)|L502",,,1,1,0,0
Method|InitializeColumnVisibilityMenu()|L511,InitializeColumnVisibilityMenu,InitializeColumnVisibilityMenu(),511,523,13,RegisterColumnMenuItem,"Method|RegisterColumnMenuItem(MenuItem?,InstalledModsColumn)|L525",,,1,1,0,0
"Method|RegisterColumnMenuItem(MenuItem?,InstalledModsColumn)|L525",RegisterColumnMenuItem,"RegisterColumnMenuItem(MenuItem?,InstalledModsColumn)",525,537,13,ApplyInstalledColumnVisibility;NotifyViewModelOfInstalledColumnVisibility,"Method|ApplyInstalledColumnVisibility(InstalledModsColumn,bool)|L549;Method|NotifyViewModelOfInstalledColumnVisibility(InstalledModsColumn,bool)|L571",,,2,2,0,0
"Method|InstalledModsColumnMenuItem_OnChecked(object,RoutedEventArgs)|L539",InstalledModsColumnMenuItem_OnChecked,"InstalledModsColumnMenuItem_OnChecked(object,RoutedEventArgs)",539,547,9,ApplyInstalledColumnVisibility;NotifyViewModelOfInstalledColumnVisibility,"Method|ApplyInstalledColumnVisibility(InstalledModsColumn,bool)|L549;Method|NotifyViewModelOfInstalledColumnVisibility(InstalledModsColumn,bool)|L571",,,2,2,0,0
"Method|ApplyInstalledColumnVisibility(InstalledModsColumn,bool)|L549",ApplyInstalledColumnVisibility,"ApplyInstalledColumnVisibility(InstalledModsColumn,bool)",549,569,21,,,,,0,0,0,0
"Method|NotifyViewModelOfInstalledColumnVisibility(InstalledModsColumn,bool)|L571",NotifyViewModelOfInstalledColumnVisibility,"NotifyViewModelOfInstalledColumnVisibility(InstalledModsColumn,bool)",571,574,4,,,,,0,0,0,0
Method|ApplyColumnVisibilityPreferencesToViewModel()|L576,ApplyColumnVisibilityPreferencesToViewModel,ApplyColumnVisibilityPreferencesToViewModel(),576,582,7,NotifyViewModelOfInstalledColumnVisibility,"Method|NotifyViewModelOfInstalledColumnVisibility(InstalledModsColumn,bool)|L571",,,1,1,0,0
"Method|MainWindow_Loaded(object,RoutedEventArgs)|L590",MainWindow_Loaded,"MainWindow_Loaded(object,RoutedEventArgs)",590,621,32,ApplyStoredModInfoPanelPosition;CheckAndPromptMigrationAsync;CreateAppStartedBackupAsync;EnsureInstalledModsCachedAsync;InitializeViewModelAsync;MigrateLegacyFirebaseDataIfNeededAsync;MigrateLegacyRebuiltModlistsIfNeeded;PromptCacheRefreshIfNeededAsync;RefreshDeleteCachedModsMenuHeaderAsync;RefreshManagerUpdateLinkAsync;SyncInstalledModsToModBrowser,"Method|ApplyStoredModInfoPanelPosition()|L1205;Method|CheckAndPromptMigrationAsync()|L719;Method|CreateAppStartedBackupAsync()|L9705;Method|EnsureInstalledModsCachedAsync(MainViewModel,bool)|L1088;Method|InitializeViewModelAsync(MainViewModel)|L3638;Method|MigrateLegacyFirebaseDataIfNeededAsync()|L11525;Method|MigrateLegacyRebuiltModlistsIfNeeded()|L623;Method|PromptCacheRefreshIfNeededAsync()|L671;Method|RefreshDeleteCachedModsMenuHeaderAsync()|L7274;Method|RefreshManagerUpdateLinkAsync()|L12258;Method|SyncInstalledModsToModBrowser()|L2693",,,11,11,0,0
Method|MigrateLegacyRebuiltModlistsIfNeeded()|L623,MigrateLegacyRebuiltModlistsIfNeeded,MigrateLegacyRebuiltModlistsIfNeeded(),623,669,47,EnsureModListDirectory;EnsureUniqueDirectoryPath;EnsureUniqueFilePath;ReportStatus,"Method|EnsureModListDirectory()|L12502;Method|EnsureUniqueDirectoryPath(string)|L12438;Method|EnsureUniqueFilePath(string)|L9143;Method|ReportStatus(string,bool)|L502",,,4,4,0,0
