MemberId,Type,Name,Signature,StartLine,EndLine,LineCount,Modifiers,ReturnType,Parameters
Field|SummaryKeyPatchModPrefix|L85,Field,SummaryKeyPatchModPrefix,SummaryKeyPatchModPrefix,85,85,1,private const,string,
Field|SummaryKeyLinePrefix|L86,Field,SummaryKeyLinePrefix,SummaryKeyLinePrefix,86,86,1,private const,string,
Field|MaxDataBackupsMenuItems|L87,Field,MaxDataBackupsMenuItems,MaxDataBackupsMenuItems,87,87,1,private const,int,
Field|WindowPositionScreenMargin|L88,Field,WindowPositionScreenMargin,WindowPositionScreenMargin,88,88,1,private const,int,
Method|CreateHostKeyVerifierWithStorage()|L97,Method,CreateHostKeyVerifierWithStorage,CreateHostKeyVerifierWithStorage(),97,108,12,private,"Func<ServerTarget, Func<string, HostKeyVerificationResult, Task<bool>>, Func<string, HostKeyVerificationResult, Task<bool>>>",
Field|DiscordInviteUrl|L111,Field,DiscordInviteUrl,DiscordInviteUrl,111,111,1,private const,string,
Field|ManagerModDatabaseUrl|L112,Field,ManagerModDatabaseUrl,ManagerModDatabaseUrl,112,112,1,private static readonly,string,
Field|ManagerModDatabaseModId|L113,Field,ManagerModDatabaseModId,ManagerModDatabaseModId,113,113,1,private static readonly,string,
Field|ModDatabaseUnavailableMessage|L114,Field,ModDatabaseUnavailableMessage,ModDatabaseUnavailableMessage,114,114,1,private static readonly,string,
Field|ModListScrollMultiplier|L117,Field,ModListScrollMultiplier,ModListScrollMultiplier,117,117,1,private static readonly,double,
Field|ModDbDesignScrollMultiplier|L118,Field,ModDbDesignScrollMultiplier,ModDbDesignScrollMultiplier,118,118,1,private static readonly,double,
Field|LoadMoreScrollThreshold|L119,Field,LoadMoreScrollThreshold,LoadMoreScrollThreshold,119,119,1,private static readonly,double,
Field|HoverOverlayOpacity|L120,Field,HoverOverlayOpacity,HoverOverlayOpacity,120,120,1,private static readonly,double,
Field|SelectionOverlayOpacity|L121,Field,SelectionOverlayOpacity,SelectionOverlayOpacity,121,121,1,private static readonly,double,
Field|ModInfoPanelHorizontalOverhang|L124,Field,ModInfoPanelHorizontalOverhang,ModInfoPanelHorizontalOverhang,124,124,1,private static readonly,double,
Field|DefaultModInfoPanelLeft|L125,Field,DefaultModInfoPanelLeft,DefaultModInfoPanelLeft,125,125,1,private static readonly,double,
Field|DefaultModInfoPanelTop|L126,Field,DefaultModInfoPanelTop,DefaultModInfoPanelTop,126,126,1,private static readonly,double,
Field|DefaultModInfoPanelRightMargin|L127,Field,DefaultModInfoPanelRightMargin,DefaultModInfoPanelRightMargin,127,127,1,private static readonly,double,
Field|PresetDirectoryName|L130,Field,PresetDirectoryName,PresetDirectoryName,130,130,1,private static readonly,string,
Field|ModListDirectoryName|L131,Field,ModListDirectoryName,ModListDirectoryName,131,131,1,private static readonly,string,
Field|CloudModListCacheDirectoryName|L132,Field,CloudModListCacheDirectoryName,CloudModListCacheDirectoryName,132,132,1,private static readonly,string,
Field|RebuiltModListDirectoryName|L133,Field,RebuiltModListDirectoryName,RebuiltModListDirectoryName,133,133,1,private static readonly,string,
Field|AutomaticConfigMaxWordDistance|L134,Field,AutomaticConfigMaxWordDistance,AutomaticConfigMaxWordDistance,134,134,1,private static readonly,int,
