Source: C:\sc\games\Simple-Mod-Manager-Refactor\VintageStoryModManager\Views\MainWindow.xaml.cs
Class:  MainWindow
Lines:  80-14442
Members: 612

Type                 Name                                                            Start      End    Lines
--------------------------------------------------------------------------------------------------------------
Field                SummaryKeyPatchModPrefix                                           85       85        1
Field                SummaryKeyLinePrefix                                               86       86        1
Field                MaxDataBackupsMenuItems                                            87       87        1
Field                WindowPositionScreenMargin                                         88       88        1
Method               CreateHostKeyVerifierWithStorage                                   97      108       12
Field                DiscordInviteUrl                                                  111      111        1
Field                ManagerModDatabaseUrl                                             112      112        1
Field                ManagerModDatabaseModId                                           113      113        1
Field                ModDatabaseUnavailableMessage                                     114      114        1
Field                ModListScrollMultiplier                                           117      117        1
Field                ModDbDesignScrollMultiplier                                       118      118        1
Field                LoadMoreScrollThreshold                                           119      119        1
Field                HoverOverlayOpacity                                               120      120        1
Field                SelectionOverlayOpacity                                           121      121        1
Field                ModInfoPanelHorizontalOverhang                                    124      124        1
Field                DefaultModInfoPanelLeft                                           125      125        1
Field                DefaultModInfoPanelTop                                            126      126        1
Field                DefaultModInfoPanelRightMargin                                    127      127        1
Field                PresetDirectoryName                                               130      130        1
Field                ModListDirectoryName                                              131      131        1
Field                CloudModListCacheDirectoryName                                    132      132        1
Field                RebuiltModListDirectoryName                                       133      133        1
Field                AutomaticConfigMaxWordDistance                                    134      134        1
Field                ConnectivityTestHttpClient                                        136      139        4
Field                ExperimentalModDebugLogPrefixes                                   141      147        7
Field                ExperimentalModDebugLogExtensions                                 149      153        5
Field                ExperimentalModDebugIgnoredLinePhrases                            155      163        9
Field                SupportedConfigExtensions                                         165      170        6
Field                SummarizableLinePrefixes                                          173      183       11
Field                _isQuestPdfLicenseInitialized                                     185      185        1
Field                PatchAssetMissingRegex                                            187      189        3
Field                StandardPresetLoadOptions                                         191      191        1
Field                ModListLoadOptions                                                192      192        1
Field                BoundModProperty                                                  198      202        5
Field                BoundModHandlerProperty                                           204      208        5
Field                RowIsHoveredProperty                                              210      214        5
Field                IsDataBackupInProgressProperty                                    216      221        6
Field                DataBackupProgressProperty                                        223      228        6
Field                DataBackupStatusMessageProperty                                   230      235        6
Field                IsModlistInstallInProgressProperty                                237      242        6
Field                ModlistInstallProgressProperty                                    244      249        6
Field                ModlistInstallStatusMessageProperty                               251      256        6
Field                ModlistDownloadSpeedProperty                                      258      263        6
Field                HasModlistDownloadSpeedProperty                                   265      270        6
Property             IsDataBackupInProgress                                            272      276        5
Property             DataBackupProgress                                                278      282        5
Property             DataBackupStatusMessage                                           284      288        5
Property             IsModlistInstallInProgress                                        290      294        5
Property             ModlistInstallProgress                                            296      300        5
Property             ModlistInstallStatusMessage                                       302      306        5
Property             ModlistDownloadSpeed                                              308      312        5
Property             HasModlistDownloadSpeed                                           314      318        5
Field                _backupSemaphore                                                  325      325        1
Field                _cloudStoreLock                                                   326      326        1
Field                _developerProfileMenuItems                                        329      329        1
Field                _gameProfileMenuItems                                             330      330        1
Field                _installedColumnVisibilityPreferences                             331      331        1
Field                _modCompatibilityCommentsService                                  334      334        1
