SuggestedFile,Confidence,MemberCount,ApproxLines
MainWindow.Appearance.cs,High,7,152
MainWindow.Backups.cs,High,18,694
MainWindow.CloudAuth.cs,High,8,125
MainWindow.CloudModlists.cs,High,26,650
MainWindow.ColumnVisibility.cs,High,8,86
MainWindow.Compatibility.cs,High,11,373
MainWindow.Core.cs,High,113,318
MainWindow.Core.cs,Medium,1,1
MainWindow.Debugging.cs,High,19,567
MainWindow.GameLaunch.cs,High,3,196
MainWindow.Help.cs,High,7,195
MainWindow.Identity.cs,High,7,71
MainWindow.Logging.cs,High,8,73
MainWindow.ManagerData.cs,High,27,975
MainWindow.ModBrowser.cs,High,13,374
MainWindow.ModConfiguration.cs,High,11,379
MainWindow.ModGrid.cs,High,64,980
MainWindow.ModInfoPanel.cs,High,12,153
MainWindow.ModOperations.cs,High,21,826
MainWindow.ModUsage.cs,High,5,284
MainWindow.Modlists.cs,High,38,1237
MainWindow.Modlists.cs,Medium,2,28
MainWindow.Navigation.cs,High,7,155
MainWindow.Paths.cs,High,27,744
MainWindow.Paths.cs,Medium,17,211
MainWindow.Pdf.cs,High,2,185
MainWindow.Pdf.cs,Medium,7,160
MainWindow.Presets.cs,High,27,1265
MainWindow.Presets.cs,Medium,4,200
MainWindow.Profiles.cs,High,16,347
MainWindow.Progress.cs,High,9,91
MainWindow.ServerSync.cs,High,8,262
MainWindow.Settings.cs,High,9,123
MainWindow.Sorting.cs,High,17,275
MainWindow.Startup.cs,High,8,284
MainWindow.Unassigned.cs,Low,1,13
MainWindow.Updates.cs,High,7,349
MainWindow.ViewModel.cs,High,12,257
MainWindow.WindowState.cs,High,5,59
