MemberId,Type,Name,Signature,StartLine,EndLine,LineCount,SuggestedFile,Confidence,Reason
Field|SummaryKeyPatchModPrefix|L85,Field,SummaryKeyPatchModPrefix,SummaryKeyPatchModPrefix,85,85,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|SummaryKeyLinePrefix|L86,Field,SummaryKeyLinePrefix,SummaryKeyLinePrefix,86,86,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|MaxDataBackupsMenuItems|L87,Field,MaxDataBackupsMenuItems,MaxDataBackupsMenuItems,87,87,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|WindowPositionScreenMargin|L88,Field,WindowPositionScreenMargin,WindowPositionScreenMargin,88,88,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Method|CreateHostKeyVerifierWithStorage()|L97,Method,CreateHostKeyVerifierWithStorage,CreateHostKeyVerifierWithStorage(),97,108,12,MainWindow.ServerSync.cs,High,Host-key verification helper.
Field|DiscordInviteUrl|L111,Field,DiscordInviteUrl,DiscordInviteUrl,111,111,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|ManagerModDatabaseUrl|L112,Field,ManagerModDatabaseUrl,ManagerModDatabaseUrl,112,112,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|ManagerModDatabaseModId|L113,Field,ManagerModDatabaseModId,ManagerModDatabaseModId,113,113,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|ModDatabaseUnavailableMessage|L114,Field,ModDatabaseUnavailableMessage,ModDatabaseUnavailableMessage,114,114,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|ModListScrollMultiplier|L117,Field,ModListScrollMultiplier,ModListScrollMultiplier,117,117,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
