FileName,MemberCount,ApproximateSourceLines,ByteCount,Sha256,MemberIds
MainWindow.Appearance.cs,7,152,9670,CEAB0DD76FD11FC708B38C561CF33166032BF7885259ED5081350F1D8C81F69F,"Method|ThemeMenuItem_OnClick(object,RoutedEventArgs)|L1403;Method|EditThemeMenuItem_OnClick(object,RoutedEventArgs)|L1437;Method|UpdateThemeMenuSelection(ColorTheme,string?)|L1442;Method|GenerateSurprisePalette()|L1461;Method|GenerateRandomColor(string)|L1471;Method|RefreshCustomThemeMenuItems()|L1488;Method|ShowCustomThemeEditor()|L1538"
MainWindow.Backups.cs,18,694,32103,7327A812AF63CA93E7BC2870B988B80487516120927CB3205648D8D7E68BF248,"Method|RestoreDataFolderMenuItem_OnSubmenuOpened(object,RoutedEventArgs)|L8240;Method|RestoreDataFolderMenuItem_OnBackupClick(object,RoutedEventArgs)|L8349;Method|OpenDataBackupDirectoryMenuItem_OnClick(object?,RoutedEventArgs)|L8374;Method|ChangeBackupLocationMenuItem_OnClick(object?,RoutedEventArgs)|L8414;Method|DeleteDataFolderBackupsMenuItem_OnClick(object?,RoutedEventArgs)|L8458;Method|RestoreBackupMenuItem_OnSubmenuOpened(object,RoutedEventArgs)|L8528;Method|RestoreBackupMenuItem_OnBackupClick(object,RoutedEventArgs)|L8602;Method|RestoreBackupAsync(string,bool)|L8617;Method|RestoreDataBackupAsync(DataFolderBackupSummary)|L8653;Method|CreateDataBackupProgressReporter(string)|L8713;Method|ShowDataBackupOverlay(string)|L8725;Method|HideDataBackupOverlay()|L8732;Method|CreateAppStartedBackupAsync()|L9705;Method|CreateBackupAsync(string,string,bool,bool)|L9714;Method|CaptureConfigurationsForBackup(IReadOnlyList<ModListItemViewModel>)|L9791;Method|IsAppStartedBackup(string?)|L9847;Method|PruneAutomaticBackups(string)|L9856;Method|PruneAppStartedBackups(string)|L9887"
MainWindow.CloudAuth.cs,8,125,9350,A9223870D25F77E56944EC6F1C098E949ABED33339CF0F101951C8713489DAB7,"Method|InternetAccessManager_OnInternetAccessChanged(object?,EventArgs)|L3213;Method|EnsureCloudModlistsConsent()|L3227;Method|EnsureFirebaseAuthConsent(string)|L3240;Method|HasFirebaseAuthStateFile()|L3267;Method|EnsureUserReportVotingConsent()|L3273;Method|EnsureFirebaseAuthBackedUpIfAvailable()|L3284;Method|DeleteFirebaseAuthFiles()|L3318;Method|TryDeleteFirebaseAuthFile(string)|L3331"
MainWindow.CloudModlists.cs,26,650,31157,BB7499E9AAEB2025DCCCA44817D9A274275D6010616399BE94B86D3D86982E1D,"Method|SaveModlistToCloudAsync()|L10085;Method|NormalizeCloudVersion(string?)|L10177;Method|BuildModConfigOptions(bool)|L10182;Method|TryReadModConfigurations(IReadOnlyList<ModConfigOption>)|L10211;Method|TryGetRelativeConfigPath(string,string)|L10261;Method|NormalizeRelativeConfigPath(string?,string)|L10279;Method|EnsureUniqueRelativePath(string,HashSet<string>)|L10298;Method|GetSupportedConfigFiles(string)|L10317;Method|IsSupportedConfigExtension(string?)|L10325;Method|GetSafeConfigFileName(string?,string?)|L10336;Method|ResolveConfigExtension(string?)|L10364;Method|SanitizeForFileName(string?)|L10375;Method|SaveModlistToCloudMenuItem_OnClick(object,RoutedEventArgs)|L10387;Method|SaveCloudModlistButton_OnClick(object,RoutedEventArgs)|L10396;Method|ModifyCloudModlistsButton_OnClick(object,RoutedEventArgs)|L10402;Method|IsCloudUploaderNameAvailableAsync(FirebaseModlistStore,string)|L10408;Method|ExecuteCloudOperationAsync(Func<FirebaseModlistStore, Task>,string)|L11456;Method|MigrateLegacyFirebaseDataIfNeededAsync()|L11525;Method|EnsureCloudStoreInitializedAsync()|L11557;Method|PromptForCloudSaveReplacement(IReadOnlyList<CloudModlistSlot>)|L11589;Method|ShowCloudModlistManagementDialogAsync(FirebaseModlistStore)|L11604;Method|BuildCloudModlistManagementEntriesAsync(FirebaseModlistStore)|L11627;Method|RenameCloudModlistAsync(FirebaseModlistStore,CloudModlistManagementEntry,string)|L11648;Method|DeleteCloudModlistAsync(FirebaseModlistStore,CloudModlistManagementEntry)|L11719;Method|DeleteAllCloudModlistsAndAuthorizationAsync(FirebaseModlistStore,bool)|L11751;Method|UpdateCloudModlistsAfterChangeAsync()|L11778"
MainWindow.ColumnVisibility.cs,8,86,7599,C09822776C56BF65544B147958A9DB4016CFBAAC27325B6F55AB3693DD394077,"Method|ReportStatus(string,bool)|L502;Method|InitializeColumnVisibilityMenu()|L511;Method|RegisterColumnMenuItem(MenuItem?,InstalledModsColumn)|L525;Method|InstalledModsColumnMenuItem_OnChecked(object,RoutedEventArgs)|L539;Method|ApplyInstalledColumnVisibility(InstalledModsColumn,bool)|L549;Method|NotifyViewModelOfInstalledColumnVisibility(InstalledModsColumn,bool)|L571;Method|ApplyColumnVisibilityPreferencesToViewModel()|L576;Nested enum|InstalledModsColumn|L14325"
MainWindow.Compatibility.cs,11,373,18485,B15AE88AA476AD9F7BE55BBFA3B0DAC218742E2882E04516B4163DF135F1BE96,"Method|CheckModsCompatibilityMenuItem_OnClick(object,RoutedEventArgs)|L5824;Method|EvaluateCompatibility(ModListItemViewModel,string,string,bool)|L5930;Method|ReleaseSupportsVersion(ModReleaseInfo,string,bool)|L6007;Method|ModsMenuItem_OnSubmenuOpened(object,RoutedEventArgs)|L6021;Method|ExperimentalCompReviewMenuItem_OnClick(object,RoutedEventArgs)|L6819;Method|BuildExperimentalCompReviewMessage(ModCompatibilityCommentsService.ExperimentalCompReviewResult)|L6881;Method|FormatExperimentalCompReviewScore(double)|L6903;Method|DeleteCloudAuthMenuItem_OnClick(object,RoutedEventArgs)|L6909;Method|ResolveExperimentalCompReviewIdentifier(ModListItemViewModel)|L6928;Method|TryExtractModSlug(string?)|L6938;Nested struct|CompatibilityEvaluation|L14343"
MainWindow.Core.cs,114,319,19296,EFE7FA6344BC169E7DA160DA57FC5DB45D240F7A16DB5AB22502B258AF6B239C,"Field|SummaryKeyPatchModPrefix|L85;Field|SummaryKeyLinePrefix|L86;Field|MaxDataBackupsMenuItems|L87;Field|WindowPositionScreenMargin|L88;Field|DiscordInviteUrl|L111;Field|ManagerModDatabaseUrl|L112;Field|ManagerModDatabaseModId|L113;Field|ModDatabaseUnavailableMessage|L114;Field|ModListScrollMultiplier|L117;Field|ModDbDesignScrollMultiplier|L118;Field|LoadMoreScrollThreshold|L119;Field|HoverOverlayOpacity|L120;Field|SelectionOverlayOpacity|L121;Field|ModInfoPanelHorizontalOverhang|L124;Field|DefaultModInfoPanelLeft|L125;Field|DefaultModInfoPanelTop|L126;Field|DefaultModInfoPanelRightMargin|L127;Field|PresetDirectoryName|L130;Field|ModListDirectoryName|L131;Field|CloudModListCacheDirectoryName|L132;Field|RebuiltModListDirectoryName|L133;Field|AutomaticConfigMaxWordDistance|L134;Field|ConnectivityTestHttpClient|L136;Field|ExperimentalModDebugLogPrefixes|L141;Field|ExperimentalModDebugLogExtensions|L149;Field|ExperimentalModDebugIgnoredLinePhrases|L155;Field|SupportedConfigExtensions|L165;Field|SummarizableLinePrefixes|L173;Field|_isQuestPdfLicenseInitialized|L185;Field|PatchAssetMissingRegex|L187;Field|StandardPresetLoadOptions|L191;Field|ModListLoadOptions|L192;Field|BoundModProperty|L198;Field|BoundModHandlerProperty|L204;Field|RowIsHoveredProperty|L210;Field|IsDataBackupInProgressProperty|L216;Field|DataBackupProgressProperty|L223;Field|DataBackupStatusMessageProperty|L230;Field|IsModlistInstallInProgressProperty|L237;Field|ModlistInstallProgressProperty|L244;Field|ModlistInstallStatusMessageProperty|L251;Field|ModlistDownloadSpeedProperty|L258;Field|HasModlistDownloadSpeedProperty|L265;Property|IsDataBackupInProgress|L272;Property|DataBackupProgress|L278;Property|DataBackupStatusMessage|L284;Property|IsModlistInstallInProgress|L290;Property|ModlistInstallProgress|L296;Property|ModlistInstallStatusMessage|L302;Property|ModlistDownloadSpeed|L308;Property|HasModlistDownloadSpeed|L314;Field|_backupSemaphore|L325;Field|_cloudStoreLock|L326;Field|_developerProfileMenuItems|L329;Field|_gameProfileMenuItems|L330;Field|_installedColumnVisibilityPreferences|L331;Field|_modCompatibilityCommentsService|L334;Field|_modDatabaseService|L335;Field|_modUpdateService|L336;Field|_dataBackupService|L337;Field|_modActivityLoggingService|L338;Field|_userConfiguration|L339;Field|_serverTargetService|L340;Field|_syncEngine|L341;Field|_traceListener|L342;Field|_selectedModPropertyHandlers|L345;Field|_selectedMods|L346;Field|_selectedLocalModlists|L347;Field|_selectedCloudModlist|L348;Field|_selectionAnchor|L349;Field|_cloudModlistsLoaded|L352;Field|_firebaseMigrationAttempted|L353;Field|_cloudModlistStore|L354;Field|_currentModsView|L357;Field|_modsScrollViewer|L358;Field|_modsScrollViewerSource|L359;Field|_modsCollection|L360;Field|_customShortcutPath|L363;Field|_dataDirectory|L364;Field|_gameDirectory|L365;Field|_gameSessionMonitor|L368;Field|_modsWatcherTimer|L369;Field|_modUsagePromptData|L370;Field|_votesCacheWatcher|L371;Field|_hasAppliedInitialModInfoPanelPosition|L374;Field|_isApplyingMultiToggle|L375;Field|_isApplyingPreset|L376;Field|_isAutomaticRefreshRunning|L377;Field|_isCloudModlistRefreshInProgress|L378;Field|_isDependencyResolutionRefreshPending|L379;Field|_isDraggingModInfoPanel|L380;Field|_isInitializing|L381;Field|_isUpdatingModlistsTabSelection|L382;Field|_isUpdatingMiddleTabSelection|L383;Field|_isModUpdateInProgress|L384;Field|_isModUsageDialogOpen|L385;Field|_isRefreshingAfterModlistLoad|L386;Field|_isWindowActive|L387;Field|_refreshAfterModlistLoadPending|L388;Field|_localModlistsLoaded|L389;Field|_suppressSortPreferenceSave|L390;Field|_isModBrowserWatcherSubscribed|L391;Field|_modInfoDragOffset|L394;Field|_recentLocalModBackupDirectory|L397;Field|_recentLocalModBackupModNames|L398;Field|_modlistInstallCompletedSteps|L399;Field|_modlistInstallTotalSteps|L400;Field|_viewModel|L403;Field|_modBrowserViewModel|L404;Field|_customThemeMenuItems|L405;Constructor|MainWindow()|L411;Property|RefreshModsUiCommand|L500;Nested record|InstalledModLogIdentifier|L14304;Delegate|PathValidator(string?,out string?,out string?)|L14341"
MainWindow.Debugging.cs,19,567,26729,DC8A66259824107F6EC298D45DE7F0FD2D4724AAC08550FC04D419844768404E,"Method|CacheAllVersionsMenuItem_OnClick(object,RoutedEventArgs)|L1978;Method|RequireExactVsVersionMenuItem_OnClick(object,RoutedEventArgs)|L1986;Method|ExperimentalModDebuggingMenuItem_OnClick(object,RoutedEventArgs)|L1994;Method|ExperimentalAllModsDebuggingMenuItem_OnClick(object,RoutedEventArgs)|L2062;Method|CollectExperimentalModDebugLines(string,string)|L2157;Method|CollectInstalledModDebugLines(string,IReadOnlyList<InstalledModLogIdentifier>)|L2167;Method|GetExperimentalModDebugFilePaths(string)|L2180;Method|AppendExperimentalModDebugLines(List<ExperimentalModDebugLogLine>,string,string)|L2213;Method|AppendInstalledModDebugLines(List<ExperimentalModDebugLogLine>,string,IReadOnlyList<InstalledModLogIdentifier>)|L2241;Method|AppendExperimentalModDebugFileSection(List<ExperimentalModDebugLogLine>,string,List<string>)|L2274;Method|AppendExperimentalModDebugFileSectionWithModId(List<ExperimentalModDebugLogLine>,string,string,List<(string Line, int LineNumber)>,string)|L2288;Method|AppendExperimentalModDebugFileSectionWithMods(List<ExperimentalModDebugLogLine>,string,string,List<(string Line, string ModName, int LineNumber)>)|L2306;Method|ShouldIgnoreExperimentalModDebugLine(string)|L2323;Method|SummarizePatchMissingLines(List<string>)|L2332;Method|SummarizePatchMissingLinesWithLineNumbers(List<(string Line, int LineNumber)>)|L2388;Method|AddOrIncrementSummary(List<string>,Dictionary<string, (int Index, int HiddenCount)>,string,string)|L2448;Method|AddOrIncrementSummaryWithLineNumber(List<(string Line, int LineNumber)>,Dictionary<string, (int Index, int HiddenCount)>,string,int,string)|L2465;Method|SummarizePatchMissingLinesWithModAndLineNumbers(List<(string Line, string ModName, int LineNumber)>)|L2483;Method|AddOrIncrementSummaryWithModAndLineNumber(List<(string Line, string ModName, int LineNumber)>,Dictionary<string, (int Index, int HiddenCount)>,string,string,int,string)|L2545"
MainWindow.GameLaunch.cs,3,196,11150,2E5335512F0FC500481D0F669C202CB9732C5DB834E098ADEE8D0516EB78E81E,"Method|TryEnsureDataBackupBeforeLaunchAsync()|L8041;Method|LaunchGameButton_OnClick(object,RoutedEventArgs)|L8082;Method|SetCustomShortcutMenuItem_OnClick(object,RoutedEventArgs)|L8164"
MainWindow.Help.cs,7,195,10870,EAFEDE0AC0B4224844F5D90C415CC0CA4B9C4A2A41625E9640EFDE122B482372,"Method|HelpMenuItem_OnClick(object,RoutedEventArgs)|L6617;Method|GuideMenuItem_OnClick(object,RoutedEventArgs)|L6630;Method|ScanForModConfigsMenuItem_OnClick(object,RoutedEventArgs)|L6644;Method|ManagerUpdateLink_OnRequestNavigate(object,RequestNavigateEventArgs)|L6741;Method|DiscordButton_OnClick(object,RoutedEventArgs)|L6747;Method|ModUsagePromptLink_OnClick(object,RoutedEventArgs)|L6782;Method|OpenManagerModDatabasePage()|L6789"
