Member,Kind,Visibility,StartLine,EndLine,Cluster,FieldsRead,FieldsWritten
UserReportVoteSubmitted,event,public,157,158,User Reports & Voting,,
MainViewModel (ctor),method,public,159,217,Construction & Disposal,configuration;dataDirectory,DataDirectory;_voteEtagCachePath;_configuration;_settingsStore;_discoveryService;_databaseService;_tagFilterService;InstalledGameVersion;_modsWatcher;_clientSettingsWatcher;ModsView;SearchResultsView;CloudModlistsView;LocalModlistsView;InstalledTagFilters;_mods;_searchResults;_sortOptions;SortOptions;_clearSearchCommand;_showMainTabCommand;_showDatabaseTabCommand;_showModlistTabCommand;_hasEnabledUserReportFetching;_isAutoRefreshDisabled;_allowModDetailsRefresh;RefreshCommand
DataDirectory,property,public,219,220,Construction & Disposal,DataDirectory,
PlayerUid,property,public,221,222,Misc Infrastructure,_settingsStore,
PlayerName,property,public,223,224,Misc Infrastructure,_settingsStore,
ModsView,property,public,225,226,Mod Loading & Refresh,ModsView,
SearchResultsView,property,public,227,228,Mod Loading & Refresh,SearchResultsView,
CloudModlistsView,property,public,229,230,Cloud/Local Modlist Collections,CloudModlistsView,
LocalModlistsView,property,public,231,232,Cloud/Local Modlist Collections,LocalModlistsView,
ModsWatcher,property,public,233,234,Mod Loading & Refresh,_modsWatcher,
TimingService,property,public,235,236,Mod Loading & Refresh,_timingService,
InstalledTagFilters,property,public,237,238,Tag Filtering,_installedTagFilters,
CurrentModsView,property,public,239,245,View Section / Tab Navigation,_viewSection;SearchResultsView;CloudModlistsView;ModsView,
CanAccessCloudModlists,property,public,246,247,Internet Access State,,
SortOptions,property,public,248,249,Sorting,SortOptions,
SelectedSortOption,property,public,250,258,Sorting,_selectedSortOption;ModsView,_selectedSortOption
IsBusy,property,public,259,264,Busy State & Progress,_isBusy,_isBusy
IsLoadingMods,property,public,265,273,Busy State & Progress,_isLoadingMods,_isLoadingMods
LoadingProgress,property,public,274,279,Busy State & Progress,_loadingProgress,_loadingProgress
LoadingStatusText,property,public,280,285,Busy State & Progress,_loadingStatusText,_loadingStatusText
IsLoadingModDetails,property,public,286,298,Busy State & Progress,_isLoadingModDetails,_isLoadingModDetails
IsModDetailsProgressVisible,property,public,299,304,Busy State & Progress,_isModDetailsProgressVisible,_isModDetailsProgressVisible
IsFastCheckInProgress,property,public,305,313,Fast Check & Update Polling,_isFastCheckInProgress,_isFastCheckInProgress
ModDetailsProgress,property,public,314,319,Busy State & Progress,_modDetailsProgress,_modDetailsProgress
ModDetailsStatusText,property,public,320,325,Busy State & Progress,_modDetailsStatusText,_modDetailsStatusText
IsCompactView,property,public,326,331,Misc Infrastructure,_isCompactView,_isCompactView
HasSelectedTags,property,public,332,340,Tag Filtering,_hasSelectedTags,_hasSelectedTags
TagsColumnHeader,property,public,341,343,Tag Filtering,_hasSelectedTags,
IsModInfoExpanded,property,public,344,349,Misc Infrastructure,_isModInfoExpanded,_isModInfoExpanded
StatusMessage,property,public,350,358,Status Reporting,_statusMessage,_statusMessage
HasStatusMessage,property,public,359,360,Status Reporting,_statusMessage,
SelectedMod,property,public,361,369,Selected Mod / Activation & Snapshots,_selectedMod,_selectedMod
HasSelectedMod,property,public,370,371,Selected Mod / Activation & Snapshots,_selectedMod,
HasSelectedMods,property,public,372,377,Selected Mod / Activation & Snapshots,_hasSelectedMods,_hasSelectedMods
HasMultipleSelectedMods,property,public,378,383,Selected Mod / Activation & Snapshots,_hasMultipleSelectedMods,_hasMultipleSelectedMods
IsErrorStatus,property,public,384,389,Status Reporting,_isErrorStatus,_isErrorStatus
ShowMainTabCommand,property,public,390,391,View Section / Tab Navigation,_showMainTabCommand,
ShowDatabaseTabCommand,property,public,392,393,View Section / Tab Navigation,_showDatabaseTabCommand,
ShowModlistTabCommand,property,public,394,395,View Section / Tab Navigation,_showModlistTabCommand,
IsViewingModlistTab,property,public,396,397,View Section / Tab Navigation,_viewSection,
IsViewingMainTab,property,public,398,399,View Section / Tab Navigation,_viewSection,
SearchModDatabase,property,public,400,401,View Section / Tab Navigation,_viewSection,
UseModDbDesignView,property,public,402,407,Misc Infrastructure,_useModDbDesignView,_useModDbDesignView
HasCloudModlists,property,public,408,409,Cloud/Local Modlist Collections,_cloudModlists,
HasLocalModlists,property,public,410,411,Cloud/Local Modlist Collections,_localModlists,
SearchText,property,public,412,435,Search & Filtering,_searchText;_searchTokens,_searchText;_searchTokens
HasSearchText,property,public,436,437,Search & Filtering,_searchTokens,
TotalMods,property,public,438,446,Mod Loading & Refresh,_totalMods,_totalMods
ActiveMods,property,public,447,455,Mod Loading & Refresh,_activeMods,_activeMods
UpdatableModsCount,property,public,456,468,Mod Loading & Refresh,_updatableModsCount,_updatableModsCount
SummaryText,property,public,469,472,Mod Loading & Refresh,_totalMods;_activeMods,
UpdateAllButtonLabel,property,public,473,476,Mod Loading & Refresh,_updatableModsCount,
UpdateAllModsMenuHeader,property,public,477,480,Mod Loading & Refresh,_updatableModsCount,
NoModsFoundMessage,property,public,481,483,Mod Loading & Refresh,DataDirectory,
ClearSearchCommand,property,public,484,485,Search & Filtering,_clearSearchCommand,
RefreshCommand,property,public,486,487,Mod Loading & Refresh,RefreshCommand,
InstalledGameVersion,property,public,488,489,Misc Infrastructure,InstalledGameVersion,
Dispose,method,public,490,554,Construction & Disposal,_disposed;_mods;_searchResults;_installedTagFilters;_fastCheckTimer;_searchDebounceTimer;_pendingSearchCts;_databaseInfoBatchTimer;_pendingDatabaseInfoUpdates;_databaseRefreshCts;_databaseRefreshTask;_clientSettingsWatcher;_modDetailsBusyScope;_userReportRefreshLimiter;_voteService,_disposed;_fastCheckTimer;_searchDebounceTimer;_pendingSearchCts;_databaseInfoBatchTimer;_databaseRefreshCts;_modDetailsBusyScope
EnterBusyScope,method,public,556,559,Busy State & Progress,,
SetInstalledColumnVisibility,method,public,561,569,Tag Filtering,,
