CallerFile,CallerMethod,CalleeFile,CalleeMethod,Direction,Notes,ReferenceKind
MainWindow.Appearance.cs,ShowCustomThemeEditor,MainWindow.ModGridScrolling.cs,ClearScrollViewerCache,MainWindow.Appearance.cs -> MainWindow.ModGridScrolling.cs,,direct call
MainWindow.CloudInfrastructure.cs,EnsureCloudStoreInitializedAsync,MainWindow.Identity.cs,ApplyPlayerIdentityToCloudStore,MainWindow.CloudInfrastructure.cs -> MainWindow.Identity.cs,,direct call
MainWindow.CloudInfrastructure.cs,ExecuteCloudOperationAsync,MainWindow.CloudAuth.cs,EnsureFirebaseAuthBackedUpIfAvailable,MainWindow.CloudInfrastructure.cs -> MainWindow.CloudAuth.cs,,direct call
MainWindow.CloudLoad.cs,DeleteCloudModlistMenuItem_OnClick,MainWindow.CloudInfrastructure.cs,ExecuteCloudOperationAsync,MainWindow.CloudLoad.cs -> MainWindow.CloudInfrastructure.cs,,direct call
MainWindow.CloudLoad.cs,EnsureCloudModlistContentAsync,MainWindow.CloudInfrastructure.cs,ExecuteCloudOperationAsync,MainWindow.CloudLoad.cs -> MainWindow.CloudInfrastructure.cs,,direct call
MainWindow.CloudLoad.cs,InstallCloudModlistButton_OnClick,MainWindow.FeatureDirectories.cs,EnsureCloudModListCacheDirectory,MainWindow.CloudLoad.cs -> MainWindow.FeatureDirectories.cs,,direct call
MainWindow.CloudLoad.cs,InstallCloudModlistButton_OnClick,MainWindow.ModlistLoad.cs,CreateAutomaticBackupAsync,MainWindow.CloudLoad.cs -> MainWindow.ModlistLoad.cs,,direct call
MainWindow.CloudLoad.cs,InstallCloudModlistButton_OnClick,MainWindow.ModlistLoad.cs,EnsureModlistBackupBeforeLoad,MainWindow.CloudLoad.cs -> MainWindow.ModlistLoad.cs,,direct call
MainWindow.CloudLoad.cs,InstallCloudModlistButton_OnClick,MainWindow.ModlistLoad.cs,GetModlistLoadOptions,MainWindow.CloudLoad.cs -> MainWindow.ModlistLoad.cs,,direct call
MainWindow.CloudLoad.cs,InstallCloudModlistButton_OnClick,MainWindow.ModlistLoad.cs,PromptModlistLoadMode,MainWindow.CloudLoad.cs -> MainWindow.ModlistLoad.cs,,direct call
MainWindow.CloudLoad.cs,InstallCloudModlistButton_OnClick,MainWindow.ModlistLoading.cs,PrepareForModlistLoad,MainWindow.CloudLoad.cs -> MainWindow.ModlistLoading.cs,,direct call
MainWindow.CloudLoad.cs,InstallCloudModlistButton_OnClick,MainWindow.PresetApplication.cs,ApplyPresetAsync,MainWindow.CloudLoad.cs -> MainWindow.PresetApplication.cs,,direct call
MainWindow.CloudLoad.cs,LoadModlistFromCloudMenuItem_OnClick,MainWindow.CloudInfrastructure.cs,ExecuteCloudOperationAsync,MainWindow.CloudLoad.cs -> MainWindow.CloudInfrastructure.cs,,direct call
