FieldName,DeclaredInFile,ReadByMethods,WrittenByMethods,UsedByPartialFiles,UsageCount,CandidateOwnerPartial,Notes
AutomaticConfigMaxWordDistance,MainWindow.Core.cs,,,,0,MainWindow.Core.cs,Unused field (dead code candidate).
BoundModHandlerProperty,MainWindow.Core.cs,,,,0,MainWindow.Core.cs,Unused field (dead code candidate).
BoundModProperty,MainWindow.Core.cs,,,,0,MainWindow.Core.cs,Unused field (dead code candidate).
CloudModListCacheDirectoryName,MainWindow.Core.cs,,,,0,MainWindow.Core.cs,Unused field (dead code candidate).
ConnectivityTestHttpClient,MainWindow.Core.cs,,,,0,MainWindow.Core.cs,Unused field (dead code candidate).
DataBackupProgressProperty,MainWindow.Core.cs,,,,0,MainWindow.Core.cs,Unused field (dead code candidate).
DataBackupStatusMessageProperty,MainWindow.Core.cs,,,,0,MainWindow.Core.cs,Unused field (dead code candidate).
DefaultModInfoPanelLeft,MainWindow.Core.cs,,,,0,MainWindow.Core.cs,Unused field (dead code candidate).
DefaultModInfoPanelRightMargin,MainWindow.Core.cs,,,,0,MainWindow.Core.cs,Unused field (dead code candidate).
DefaultModInfoPanelTop,MainWindow.Core.cs,MainWindow.ModInfoPanel.cs::ApplyStoredModInfoPanelPosition;MainWindow.ModInfoPanel.cs::EnsureModInfoPanelWithinBounds,,MainWindow.ModInfoPanel.cs,2,MainWindow.ModInfoPanel.cs,Predominantly used by MainWindow.ModInfoPanel.cs; consider moving field there.
DiscordInviteUrl,MainWindow.Core.cs,MainWindow.Help.cs::DiscordButton_OnClick,,MainWindow.Help.cs,1,MainWindow.Help.cs,Predominantly used by MainWindow.Help.cs; consider moving field there.
HasModlistDownloadSpeedProperty,MainWindow.Core.cs,,,,0,MainWindow.Core.cs,Unused field (dead code candidate).
