PartialFile,MethodName,IsAsync,IsEventHandlerLike,FieldsRead,FieldsWritten,MainWindowMethodsCalled,ExternalTypesUsed,AwaitedCalls,XamlEventsReferencingMethod,MainWindowMethodsReferencedAsCallback
MainWindow.Appearance.cs,EditThemeMenuItem_OnClick,False,True,,,ShowCustomThemeEditor,,,EditThemeMenuItem.Click,
MainWindow.Appearance.cs,RefreshCustomThemeMenuItems,False,False,_customThemeMenuItems,,,VintageStoryModManager.ViewModels.CustomThemeMenuItemViewModel,,,
MainWindow.Appearance.cs,ShowCustomThemeEditor,False,False,_userConfiguration,,ClearScrollViewerCache;RefreshCustomThemeMenuItems,VintageStoryModManager.App;VintageStoryModManager.Views.Dialogs.ThemePaletteEditorDialog,,,
MainWindow.CloudAuth.cs,DeleteFirebaseAuthFiles,False,False,_dataDirectory,,,SimpleVsManager.Cloud.FirebaseAnonymousAuthenticator;VintageStoryModManager.Services.FirebaseAuthFileService,,,
MainWindow.CloudAuth.cs,EnsureCloudModlistsConsent,False,False,,,EnsureFirebaseAuthConsent,,,,
MainWindow.CloudAuth.cs,EnsureFirebaseAuthBackedUpIfAvailable,False,False,_dataDirectory;_modActivityLoggingService,,,SimpleVsManager.Cloud.FirebaseAnonymousAuthenticator;VintageStoryModManager.Services.FirebaseAuthFileService;VintageStoryModManager.Services.StatusLogService,,,
MainWindow.CloudAuth.cs,EnsureFirebaseAuthConsent,False,False,,,EnsureFirebaseAuthBackedUpIfAvailable,SimpleVsManager.Cloud.FirebaseAnonymousAuthenticator;VintageStoryModManager.Services.ModManagerMessageBox;VintageStoryModManager.Views.Dialogs.MessageDialogButtonContentOverrides,,,
MainWindow.CloudAuth.cs,EnsureUserReportVotingConsent,False,False,,,EnsureFirebaseAuthConsent,,,,
MainWindow.CloudAuth.cs,RestoreFirebaseAuthBackupMenuItem_OnClick,True,True,_confirmationService,,,VintageStoryModManager.Services.CloudAuthDialogTextBuilder;VintageStoryModManager.Services.DialogSeverity;VintageStoryModManager.Services.FirebaseAuthFileService;VintageStoryModManager.Services.FirebaseAuthRestoreResult;VintageStoryModManager.Services.ModManagerMessageBox,"_confirmationService.NotifyAsync(
                            ""Could not determine the Simple VS Manager folder for firebase-auth.json."",
                            ""Simple VS Manager"",
                            DialogSeverity.Error)
                        .ConfigureAwait;_confirmationService.NotifyAsync(
                            ""Could not determine the location of the firebase-auth.json backup."",
                            ""Simple VS Manager"",
                            DialogSeverity.Error)
                        .ConfigureAwait;_confirmationService.NotifyAsync(
                            ""No firebase-auth.json backup was found in the SVSM Backup folder."",
                            ""Simple VS Manager"",
                            DialogSeverity.Warning)
                        .ConfigureAwait;_confirmationService.NotifyAsync(
                            ""Restored firebase-auth.json from the SVSM Backup folder."",
                            ""Simple VS Manager"",
                            DialogSeverity.Information)
                        .ConfigureAwait;_confirmationService.NotifyAsync(
                    CloudAuthDialogTextBuilder.BuildRestoreFailureMessage(ex.Message),
                    ""Simple VS Manager"",
                    DialogSeverity.Error)
                .ConfigureAwait",MenuItem.Click,
MainWindow.CloudInfrastructure.cs,EnsureCloudStoreInitializedAsync,True,False,_cloudModlistStore;_cloudStoreLock,_cloudModlistStore,ApplyPlayerIdentityToCloudStore;MigrateLegacyFirebaseDataIfNeededAsync,SimpleVsManager.Cloud.FirebaseModlistStore,MigrateLegacyFirebaseDataIfNeededAsync().ConfigureAwait;_cloudStoreLock.WaitAsync,,
MainWindow.CloudInfrastructure.cs,ExecuteCloudOperationAsync,True,False,_confirmationService,,EnsureCloudStoreInitializedAsync;EnsureFirebaseAuthBackedUpIfAvailable,SimpleVsManager.Cloud.FirebaseModlistStore;VintageStoryModManager.Services.CloudOperationDialogTextBuilder;VintageStoryModManager.Services.DialogSeverity;VintageStoryModManager.Services.InternetAccessDisabledException;VintageStoryModManager.Services.InternetAccessManager;VintageStoryModManager.Services.StatusLogService,"EnsureCloudStoreInitializedAsync;_confirmationService.NotifyAsync(
                    CloudOperationDialogTextBuilder.BuildActionFailureMessage(
                        actionDescription,
                        ex.Message),
                    ""Simple VS Manager"",
                    DialogSeverity.Error)
                .ConfigureAwait;_confirmationService.NotifyAsync(
                    CloudOperationDialogTextBuilder.BuildInitializationFailureMessage(ex.Message),
                    ""Simple VS Manager"",
                    DialogSeverity.Error)
                .ConfigureAwait;_confirmationService.NotifyAsync(
                    CloudOperationDialogTextBuilder.BuildUnexpectedActionFailureMessage(
                        actionDescription,
                        ex.Message),
                    ""Simple VS Manager"",
                    DialogSeverity.Error)
                .ConfigureAwait;_confirmationService.NotifyAsync(
                    ex.Message,
                    ""Simple VS Manager"",
                    DialogSeverity.Warning)
                .ConfigureAwait;operation",,
MainWindow.CloudInfrastructure.cs,MigrateLegacyFirebaseDataIfNeededAsync,True,False,_confirmationService;_firebaseMigrationAttempted;_viewModel,_firebaseMigrationAttempted,,VintageStoryModManager.Services.DialogSeverity;VintageStoryModManager.Services.FirebaseModlistMigrationService;VintageStoryModManager.Services.StatusLogService,"Dispatcher.InvokeAsync(async () =>
                        await _confirmationService.NotifyAsync(
                                ""Due to bandwidth issues, the manager is changing to another database. Your modlists will be saved and moved to the new database. Each user's modlists will appear in the Online Modlists tab when they update. All compatibility votes have been reset. Thank you for using the manager and voting!"",
                                ""Simple VS Manager"",
                                DialogSeverity.Information)
                            .ConfigureAwait(true))
                    .Result.ConfigureAwait;_confirmationService.NotifyAsync(
                                ""Due to bandwidth issues, the manager is changing to another database. Your modlists will be saved and moved to the new database. Each user's modlists will appear in the Online Modlists tab when they update. All compatibility votes have been reset. Thank you for using the manager and voting!"",
                                ""Simple VS Manager"",
                                DialogSeverity.Information)
                            .ConfigureAwait;migrationService
                .TryMigrateAsync(playerUid, _viewModel?.PlayerName, _userConfiguration, CancellationToken.None)
                .ConfigureAwait",,
MainWindow.CloudLoad.cs,CloudModlistsDataGrid_OnSelectionChanged,False,True,,,SetCloudModlistSelection,VintageStoryModManager.Models.CloudModlistListEntry,,CloudModlistsDataGrid.SelectionChanged,
MainWindow.CloudLoad.cs,DeleteCloudModlistMenuItem_OnClick,True,True,_confirmationService;_viewModel,_cloudModlistsLoaded,ExecuteCloudOperationAsync;RefreshCloudModlistsAsync,VintageStoryModManager.Models.CloudModlistSlot;VintageStoryModManager.Services.CloudLoadDialogTextBuilder;VintageStoryModManager.Services.CloudModlistHelper;VintageStoryModManager.Services.CloudModlistManagementService;VintageStoryModManager.Services.CloudModlistSlotService;VintageStoryModManager.Services.DialogSeverity;VintageStoryModManager.Views.Dialogs.CloudSlotSelectionDialog,"CloudModlistManagementService.DeleteSlotAsync;CloudModlistSlotService.LoadSlotsAsync;ExecuteCloudOperationAsync;RefreshCloudModlistsAsync;_confirmationService.ConfirmAsync(
                    CloudLoadDialogTextBuilder.BuildDeleteConfirmationMessage(displayName),
                    ""Simple VS Manager"",
                    DialogSeverity.Warning)
                .ConfigureAwait;_confirmationService.NotifyAsync(
                        CloudLoadDialogTextBuilder.NoCloudModlistsAvailableToDeleteMessage,
                        ""Simple VS Manager"",
                        DialogSeverity.Information)
                    .ConfigureAwait",,
MainWindow.CloudLoad.cs,EnsureCloudModlistContentAsync,True,False,_confirmationService;_viewModel,,ExecuteCloudOperationAsync;SetCloudModlistSelection,VintageStoryModManager.Models.CloudModlistListEntry;VintageStoryModManager.Services.CloudLoadDialogTextBuilder;VintageStoryModManager.Services.CloudModlistContentService;VintageStoryModManager.Services.DialogSeverity,"CloudModlistContentService.EnsureContentAsync;ExecuteCloudOperationAsync;_confirmationService.NotifyAsync(
                    CloudLoadDialogTextBuilder.SelectedCloudModlistDownloadFailedMessage,
                    ""Simple VS Manager"",
                    DialogSeverity.Warning)
                .ConfigureAwait",,
MainWindow.CloudLoad.cs,InstallCloudModlistButton_OnClick,True,True,_confirmationService;_selectedCloudModlist;_viewModel,,ApplyPresetAsync;CreateAutomaticBackupAsync;EnsureCloudModListCacheDirectory;EnsureCloudModlistContentAsync;EnsureModlistBackupBeforeLoad;GetModlistLoadOptions;PrepareForModlistLoad;PromptModlistLoadMode,VintageStoryModManager.Models.CloudModlistListEntry;VintageStoryModManager.Models.ModPreset?;VintageStoryModManager.ModlistLoadMode;VintageStoryModManager.PresetLoadOptions;VintageStoryModManager.Services.CloudLoadDialogTextBuilder;VintageStoryModManager.Services.CloudModlistCacheService;VintageStoryModManager.Services.DialogSeverity;VintageStoryModManager.Services.PresetFileLoader,"ApplyPresetAsync;CloudModlistCacheService.CacheAsync;CreateAutomaticBackupAsync(""ModlistLoaded"").ConfigureAwait;EnsureCloudModlistContentAsync;_confirmationService.NotifyAsync(
                    CloudLoadDialogTextBuilder.BuildCachePreparationFailureMessage(ex.Message),
                    ""Simple VS Manager"",
                    DialogSeverity.Error)
                .ConfigureAwait;_confirmationService.NotifyAsync(
                    CloudLoadDialogTextBuilder.BuildSelectedModlistCacheFailureMessage(ex.Message),
                    ""Simple VS Manager"",
                    DialogSeverity.Error)
                .ConfigureAwait;_confirmationService.NotifyAsync(
                    message,
                    ""Simple VS Manager"",
                    DialogSeverity.Error)
                .ConfigureAwait",InstallCloudModlistButton.Click,
MainWindow.CloudLoad.cs,LoadModlistFromCloudMenuItem_OnClick,True,True,_confirmationService;_viewModel,,ApplyPresetAsync;CreateAutomaticBackupAsync;EnsureModlistBackupBeforeLoad;ExecuteCloudOperationAsync;GetModlistLoadOptions;PrepareForModlistLoad;PromptModlistLoadMode,VintageStoryModManager.Models.CloudModlistSlot;VintageStoryModManager.Models.ModPreset;VintageStoryModManager.Models.ModPreset?;VintageStoryModManager.ModlistLoadMode;VintageStoryModManager.PresetLoadOptions;VintageStoryModManager.Services.CloudLoadDialogTextBuilder;VintageStoryModManager.Services.CloudModlistContentService;VintageStoryModManager.Services.CloudModlistHelper;VintageStoryModManager.Services.CloudModlistSlotService;VintageStoryModManager.Services.DialogSeverity;VintageStoryModManager.Services.PresetFileLoader;VintageStoryModManager.Views.Dialogs.CloudSlotSelectionDialog,"ApplyPresetAsync;CloudModlistContentService.EnsureSlotContentAsync;CloudModlistSlotService.LoadSlotsAsync;CreateAutomaticBackupAsync(""ModlistLoaded"").ConfigureAwait;ExecuteCloudOperationAsync;_confirmationService.NotifyAsync(
                        CloudLoadDialogTextBuilder.NoCloudModlistsAvailableMessage,
                        ""Simple VS Manager"",
                        DialogSeverity.Information)
                    .ConfigureAwait;_confirmationService.NotifyAsync(
                        CloudLoadDialogTextBuilder.SelectedCloudModlistEmptyMessage,
                        ""Simple VS Manager"",
                        DialogSeverity.Warning)
                    .ConfigureAwait;_confirmationService.NotifyAsync(
                        message,
                        ""Simple VS Manager"",
                        DialogSeverity.Error)
                    .ConfigureAwait",,
MainWindow.CloudLoad.cs,RefreshCloudModlistsAsync,True,False,_cloudModlistsLoaded;_isCloudModlistRefreshInProgress;_viewModel,_cloudModlistsLoaded;_isCloudModlistRefreshInProgress,ExecuteCloudOperationAsync;SetCloudModlistSelection;UpdateCloudModlistControlsEnabledState,VintageStoryModManager.Services.CloudModlistHelper,Dispatcher.InvokeAsync;ExecuteCloudOperationAsync;store.GetRegistryEntriesAsync,,
MainWindow.CloudLoad.cs,RefreshCloudModlistsButton_OnClick,True,True,,,RefreshCloudModlistsAsync,,RefreshCloudModlistsAsync,RefreshCloudModlistsButton.Click,
