XamlFile,ElementName,EventName,HandlerName,HandlerPartialFile
MainWindow.xaml,ActiveColumnMenuItem,Checked,InstalledModsColumnMenuItem_OnChecked,MainWindow.ColumnVisibility.cs
MainWindow.xaml,ActiveColumnMenuItem,Unchecked,InstalledModsColumnMenuItem_OnChecked,MainWindow.ColumnVisibility.cs
MainWindow.xaml,AuthorsColumnMenuItem,Checked,InstalledModsColumnMenuItem_OnChecked,MainWindow.ColumnVisibility.cs
MainWindow.xaml,AuthorsColumnMenuItem,Unchecked,InstalledModsColumnMenuItem_OnChecked,MainWindow.ColumnVisibility.cs
MainWindow.xaml,BrowsePresetMenuItem,Click,LoadPresetMenuItem_OnClick,MainWindow.PresetFiles.cs
MainWindow.xaml,Button,Click,UserReportsButton_OnClick,MainWindow.UserReports.cs
MainWindow.xaml,Button,Click,CloseModInfoButton_OnClick,MainWindow.ModGridSelection.cs
MainWindow.xaml,CloudModlistsDataGrid,SelectionChanged,CloudModlistsDataGrid_OnSelectionChanged,MainWindow.CloudLoad.cs
MainWindow.xaml,CreateGameProfileMenuItem,Click,CreateGameProfileMenuItem_OnClick,MainWindow.Profiles.cs
MainWindow.xaml,DeleteCachedModsMenuItem,Click,DeleteCachedModsMenuItem_OnClick,MainWindow.ManagerCache.cs
MainWindow.xaml,DeleteGameProfileMenuItem,Click,DeleteGameProfileMenuItem_OnClick,MainWindow.Profiles.cs
MainWindow.xaml,DeleteLocalModlistsButton,Click,DeleteLocalModlistsButton_OnClick,MainWindow.LocalModlists.cs
MainWindow.xaml,DisableHoverEffectsMenuItem,Click,DisableHoverEffectsMenuItem_OnClick,MainWindow.ModGridRowVisuals.cs
MainWindow.xaml,DiscordButton,Click,DiscordButton_OnClick,MainWindow.Help.cs
MainWindow.xaml,EditGameProfileMenuItem,Click,EditGameProfileMenuItem_OnClick,MainWindow.Profiles.cs
MainWindow.xaml,EditThemeMenuItem,Click,EditThemeMenuItem_OnClick,MainWindow.Appearance.cs
MainWindow.xaml,EnableServerOptionsMenuItem,Click,EnableServerOptionsMenuItem_OnClick,MainWindow.ServerSync.cs
MainWindow.xaml,EventSetter,Handler,ModsDataGridRow_OnPreviewMouseLeftButtonDown,MainWindow.ModGridInput.cs
MainWindow.xaml,EventSetter,Handler,ModsDataGridRow_OnLoaded,MainWindow.ModGridRowVisuals.cs
MainWindow.xaml,EventSetter,Handler,ModsDataGridRow_OnUnloaded,MainWindow.ModGridRowVisuals.cs
